Service Code,Dept or Currency Code,Dept or Currency Desc,Activity,Unit cost,Cost
Non-Elective Inpatient - Long Stay,HN42B , Very Major Hand Procedures for Non-Trauma with CC Score 0-1,98,9413.2167,922495.2412
Non-Elective Inpatient - Long Stay,HN43A ," Major Hand Procedures for Non-Trauma, 19 years and over, with CC Score 2+",293,11910.0624,3489648.28
Non-Elective Inpatient - Long Stay,HN43B ," Major Hand Procedures for Non-Trauma, 19 years and over, with CC Score 0-1",261,7005.1386,1828341.183
Non-Elective Inpatient - Long Stay,HN43C ," Major Hand Procedures for Non-Trauma, 18 years and under",27,9374.3374,253107.1089
Non-Elective Inpatient - Long Stay,HN44A ," Intermediate Hand Procedures for Non-Trauma, 19 years and over, with CC Score 2+",823,7975.7932,6564077.773
Non-Elective Inpatient - Long Stay,HN44B ," Intermediate Hand Procedures for Non-Trauma, 19 years and over, with CC Score 0-1",776,5241.1174,4067107.103
Non-Elective Inpatient - Long Stay,HN44C ," Intermediate Hand Procedures for Non-Trauma, between 6 and 18 years",44,5906.2887,259876.7045
Non-Elective Inpatient - Long Stay,HN44D ," Intermediate Hand Procedures for Non-Trauma, 5 years and under",12,6229.8848,74758.617
Non-Elective Inpatient - Long Stay,HN45A ," Minor Hand Procedures for Non-Trauma, 19 years and over",14,2923.2723,40925.8123
Non-Elective Inpatient - Long Stay,HN52A , Very Major Shoulder Procedures for Non-Trauma with CC Score 4+,68,19890.3921,1352546.664
Non-Elective Inpatient - Long Stay,HN52B , Very Major Shoulder Procedures for Non-Trauma with CC Score 2-3,25,13047.827,326195.6759
Non-Elective Inpatient - Long Stay,HN52C , Very Major Shoulder Procedures for Non-Trauma with CC Score 0-1,29,12412.0595,359949.7253
Non-Elective Inpatient - Long Stay,HN53A , Major Shoulder Procedures for Non-Trauma with CC Score 4+,136,16455.1171,2237895.921
Non-Elective Inpatient - Long Stay,HN53B , Major Shoulder Procedures for Non-Trauma with CC Score 2-3,74,12755.8683,943934.2519
Non-Elective Inpatient - Long Stay,HN53C , Major Shoulder Procedures for Non-Trauma with CC Score 0-1,95,8810.6222,837009.1073
Non-Elective Inpatient - Long Stay,HN54A ," Intermediate Shoulder Procedures for Non-Trauma, 19 years and over, with CC Score 4+",232,12573.1214,2916964.161
Non-Elective Inpatient - Long Stay,HN54B ," Intermediate Shoulder Procedures for Non-Trauma, 19 years and over, with CC Score 2-3",95,8252.0025,783940.2412
Non-Elective Inpatient - Long Stay,HN54C ," Intermediate Shoulder Procedures for Non-Trauma, 19 years and over, with CC Score 0-1",99,7415.2424,734108.9968
Non-Elective Inpatient - Long Stay,HN54D ," Intermediate Shoulder Procedures for Non-Trauma, 18 years and under",27,9097.4324,245630.6747
Non-Elective Inpatient - Long Stay,HN56Z , Minimal Shoulder Procedures,15,7473.8484,112107.7262
Non-Elective Inpatient - Long Stay,HN62A , Very Major Elbow Procedures for Non-Trauma with CC Score 2+,43,14882.5974,639951.6861
Non-Elective Inpatient - Long Stay,HN62B , Very Major Elbow Procedures for Non-Trauma with CC Score 0-1,31,13107.8337,406342.8447
Non-Elective Inpatient - Long Stay,HN63A , Major Elbow Procedures for Non-Trauma with CC Score 2+,106,14790.9519,1567840.904
Non-Elective Inpatient - Long Stay,HN63B , Major Elbow Procedures for Non-Trauma with CC Score 0-1,76,9736.6959,739988.8894
Non-Elective Inpatient - Long Stay,HN64A ," Intermediate Elbow Procedures for Non-Trauma, 19 years and over, with CC Score 2+",150,12704.0538,1905608.075
Non-Elective Inpatient - Long Stay,HN64B ," Intermediate Elbow Procedures for Non-Trauma, 19 years and over, with CC Score 0-1",115,7872.3215,905316.9707
Non-Elective Inpatient - Long Stay,HN64C ," Intermediate Elbow Procedures for Non-Trauma, between 6 and 18 years",20,9651.4795,193029.5907
Non-Elective Inpatient - Long Stay,HN64D ," Intermediate Elbow Procedures for Non-Trauma, 5 years and under",19,7727.7085,146826.4615
Non-Elective Inpatient - Long Stay,HN80A ," Very Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 9+",214,39216.8677,8392409.694
Non-Elective Inpatient - Long Stay,HN80B ," Very Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 6-8",195,30662.3374,5979155.785
Non-Elective Inpatient - Long Stay,HN80C ," Very Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 3-5",267,25490.9246,6806076.873
Non-Elective Inpatient - Long Stay,HN80D ," Very Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 0-2",115,20238.3877,2327414.591
Non-Elective Inpatient - Long Stay,HN81A ," Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 9+",791,25895.6654,20483471.31
Non-Elective Inpatient - Long Stay,HN81B ," Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 6-8",670,21537.5586,14430164.26
Non-Elective Inpatient - Long Stay,HN81C ," Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 4-5",557,19751.9995,11001863.7
Non-Elective Inpatient - Long Stay,HN81D ," Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 2-3",594,17750.2278,10543635.34
Non-Elective Inpatient - Long Stay,HN81E ," Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 0-1",379,18208.7386,6901111.94
Non-Elective Inpatient - Long Stay,HN85Z ," Very Complex, Foot, Hand, Shoulder or Elbow Procedures for Non-Trauma",18,19256.9096,346624.3737
Non-Elective Inpatient - Long Stay,HN86A ," Complex, Foot, Hand, Shoulder or Elbow Procedures for Non-Trauma, with CC Score 2+",87,18852.8188,1640195.233
Non-Elective Inpatient - Long Stay,HN86B ," Complex, Foot, Hand, Shoulder or Elbow Procedures for Non-Trauma, with CC Score 0-1",22,10775.8197,237068.034
Non-Elective Inpatient - Long Stay,HN87Z , Very Complex Orthopaedic Procedures with Massive Endoprosthesis,72,32666.7861,2352008.601
Non-Elective Inpatient - Long Stay,HN93Z ," Other Muscle, Tendon, Fascia or Ligament Procedures",299,7670.7253,2293546.85
Non-Elective Inpatient - Long Stay,HT12A , Very Major Hip Procedures for Trauma with CC Score 12+,2869,18245.6997,52346912.41
Non-Elective Inpatient - Long Stay,HT12B , Very Major Hip Procedures for Trauma with CC Score 9-11,3994,14911.0417,59554700.4
Non-Elective Inpatient - Long Stay,HT12C , Very Major Hip Procedures for Trauma with CC Score 6-8,6884,13344.473,91863352.45
Non-Elective Inpatient - Long Stay,HT12D , Very Major Hip Procedures for Trauma with CC Score 3-5,8736,11805.1836,103130084
Non-Elective Inpatient - Long Stay,HT12E , Very Major Hip Procedures for Trauma with CC Score 0-2,6704,10727.9982,71920499.87
Non-Elective Inpatient - Long Stay,HT13A , Major Hip Procedures for Trauma with CC Score 12+,1961,17275.2199,33876706.3
Non-Elective Inpatient - Long Stay,HT13B , Major Hip Procedures for Trauma with CC Score 9-11,2497,14371.1297,35884710.79
Non-Elective Inpatient - Long Stay,HT13C , Major Hip Procedures for Trauma with CC Score 6-8,4527,12931.051,58538867.91
Non-Elective Inpatient - Long Stay,HT13D , Major Hip Procedures for Trauma with CC Score 3-5,5797,11267.0885,65315312.27
Non-Elective Inpatient - Long Stay,HT13E , Major Hip Procedures for Trauma with CC Score 0-2,4847,9437.9989,45745980.74
Non-Elective Inpatient - Long Stay,HT14A , Intermediate Hip Procedures for Trauma with CC Score 4+,541,13286.5939,7188047.315
Non-Elective Inpatient - Long Stay,HT14B , Intermediate Hip Procedures for Trauma with CC Score 2-3,272,9762.319,2655350.755
Non-Elective Inpatient - Long Stay,HT14C , Intermediate Hip Procedures for Trauma with CC Score 0-1,584,7423.167,4335129.534
Non-Elective Inpatient - Long Stay,HT22A , Very Major Knee Procedures for Trauma with CC Score 4+,240,23171.0658,5561055.791
Non-Elective Inpatient - Long Stay,HT22B , Very Major Knee Procedures for Trauma with CC Score 2-3,220,17413.1916,3830902.152
Non-Elective Inpatient - Long Stay,HT22C , Very Major Knee Procedures for Trauma with CC Score 0-1,723,14412.2844,10420081.59
Non-Elective Inpatient - Long Stay,HT23A ," Major Knee Procedures for Trauma, 19 years and over, with CC Score 4+",1215,17749.8346,21566049.06
Non-Elective Inpatient - Long Stay,HT23B ," Major Knee Procedures for Trauma, 19 years and over, with CC Score 2-3",1061,13233.2669,14040496.23
Non-Elective Inpatient - Long Stay,HT23C ," Major Knee Procedures for Trauma, 19 years and over, with CC Score 1",1132,11491.7473,13008657.98
Non-Elective Inpatient - Long Stay,HT23D ," Major Knee Procedures for Trauma, 19 years and over, with CC Score 0",1898,10640.8674,20196366.4
Non-Elective Inpatient - Long Stay,HT23E ," Major Knee Procedures for Trauma, 18 years and under",532,9399.6832,5000631.488
Non-Elective Inpatient - Long Stay,HT24A ," Intermediate Knee Procedures for Trauma, 19 years and over, with CC Score 2+",351,13198.8336,4632790.592
Non-Elective Inpatient - Long Stay,HT24B ," Intermediate Knee Procedures for Trauma, 19 years and over, with CC Score 1",209,9122.6787,1906639.844
Non-Elective Inpatient - Long Stay,HT24C ," Intermediate Knee Procedures for Trauma, 19 years and over, with CC Score 0",389,8421.6655,3276027.885
Non-Elective Inpatient - Long Stay,HT24D ," Intermediate Knee Procedures for Trauma, 18 years and under",308,7785.1278,2397819.37
Non-Elective Inpatient - Long Stay,HT32A , Very Major Foot Procedures for Trauma with CC Score 4+,708,17578.7539,12445757.73
Non-Elective Inpatient - Long Stay,HT32B , Very Major Foot Procedures for Trauma with CC Score 2-3,910,12635.7991,11498577.21
Non-Elective Inpatient - Long Stay,HT32C , Very Major Foot Procedures for Trauma with CC Score 0-1,2746,10793.5909,29639200.5
Non-Elective Inpatient - Long Stay,HT33A ," Major Foot Procedures for Trauma, 19 years and over, with CC Score 4+",1026,16013.0974,16429437.9
Non-Elective Inpatient - Long Stay,HT33B ," Major Foot Procedures for Trauma, 19 years and over, with CC Score 2-3",1232,11496.5968,14163807.31
Non-Elective Inpatient - Long Stay,HT33C ," Major Foot Procedures for Trauma, 19 years and over, with CC Score 1",1420,10148.3986,14410725.97
Non-Elective Inpatient - Long Stay,HT33D ," Major Foot Procedures for Trauma, 19 years and over, with CC Score 0",2457,9086.8258,22326330.89
Non-Elective Inpatient - Long Stay,HT33E ," Major Foot Procedures for Trauma, 18 years and under",449,8189.9891,3677305.106
Non-Elective Inpatient - Long Stay,HT34A ," Intermediate Foot Procedures for Trauma, 19 years and over, with CC Score 4+",378,11466.0521,4334167.687
Non-Elective Inpatient - Long Stay,HT34B ," Intermediate Foot Procedures for Trauma, 19 years and over, with CC Score 2-3",309,8757.9093,2706193.983
Non-Elective Inpatient - Long Stay,HT34C ," Intermediate Foot Procedures for Trauma, 19 years and over, with CC Score 1",308,7483.2941,2304854.572
Non-Elective Inpatient - Long Stay,HT34D ," Intermediate Foot Procedures for Trauma, 19 years and over, with CC Score 0",588,6692.5635,3935227.357
Non-Elective Inpatient - Long Stay,HT34E ," Intermediate Foot Procedures for Trauma, 18 years and under",240,5875.6955,1410166.911
Non-Elective Inpatient - Long Stay,HT42A , Very Major Hand Procedures for Trauma with CC Score 2+,263,9813.2218,2580877.331
Non-Elective Inpatient - Long Stay,HT42B , Very Major Hand Procedures for Trauma with CC Score 0-1,578,8452.0017,4885256.969
Non-Elective Inpatient - Long Stay,HT43A ," Major Hand Procedures for Trauma, 19 years and over, with CC Score 4+",181,10618.9713,1922033.797
Non-Elective Inpatient - Long Stay,HT43B ," Major Hand Procedures for Trauma, 19 years and over, with CC Score 2-3",271,7598.1801,2059106.804
Non-Elective Inpatient - Long Stay,HT43C ," Major Hand Procedures for Trauma, 19 years and over, with CC Score 0-1",946,6482.0739,6132041.934
Non-Elective Inpatient - Long Stay,HT43D ," Major Hand Procedures for Trauma, between 6 and 18 years",269,5613.306,1509979.314
Non-Elective Inpatient - Long Stay,HT43E ," Major Hand Procedures for Trauma, 5 years and under",18,4599.7004,82794.608
Non-Elective Inpatient - Long Stay,HT44A ," Intermediate Hand Procedures for Trauma, 19 years and over, with CC Score 4+",211,5579.8639,1177351.293
Non-Elective Inpatient - Long Stay,HT44B ," Intermediate Hand Procedures for Trauma, 19 years and over, with CC Score 2-3",156,5765.3509,899394.7481
Non-Elective Inpatient - Long Stay,HT44C ," Intermediate Hand Procedures for Trauma, 19 years and over, with CC Score 0-1",487,5174.2873,2519877.913
Non-Elective Inpatient - Long Stay,HT44D ," Intermediate Hand Procedures for Trauma, between 6 and 18 years",120,4023.8745,482864.9435
Non-Elective Inpatient - Long Stay,HT44E ," Intermediate Hand Procedures for Trauma, 5 years and under",26,4556.6413,118472.6751
Non-Elective Inpatient - Long Stay,HT52A , Very Major Shoulder Procedures for Trauma with CC Score 4+,210,15208.5706,3193799.827
Non-Elective Inpatient - Long Stay,HT52B , Very Major Shoulder Procedures for Trauma with CC Score 2-3,201,12038.0252,2419643.064
Non-Elective Inpatient - Long Stay,HT52C , Very Major Shoulder Procedures for Trauma with CC Score 0-1,269,12265.1449,3299323.99
Non-Elective Inpatient - Long Stay,HT53A ," Major Shoulder Procedures for Trauma, 19 years and over, with CC Score 4+",234,13618.8371,3186807.892
Non-Elective Inpatient - Long Stay,HT53B ," Major Shoulder Procedures for Trauma, 19 years and over, with CC Score 2-3",242,10013.3434,2423229.091
Non-Elective Inpatient - Long Stay,HT53C ," Major Shoulder Procedures for Trauma, 19 years and over, with CC Score 1",218,9048.9571,1972672.65
Non-Elective Inpatient - Long Stay,HT53D ," Major Shoulder Procedures for Trauma, 19 years and over, with CC Score 0",308,8618.3067,2654438.466
Non-Elective Inpatient - Long Stay,HT53E ," Major Shoulder Procedures for Trauma, 18 years and under",49,7303.9236,357892.2566
Non-Elective Inpatient - Long Stay,HT54A , Intermediate Shoulder Procedures for Trauma with CC Score 4+,288,6799.6539,1958300.32
Non-Elective Inpatient - Long Stay,HT54B , Intermediate Shoulder Procedures for Trauma with CC Score 2-3,186,5491.6873,1021453.841
Non-Elective Inpatient - Long Stay,HT54C , Intermediate Shoulder Procedures for Trauma with CC Score 1,112,4311.2977,482865.3429
Non-Elective Inpatient - Long Stay,HT54D , Intermediate Shoulder Procedures for Trauma with CC Score 0,155,4843.2205,750699.1715
Non-Elective Inpatient - Long Stay,HT62A , Very Major Elbow Procedures for Trauma with CC Score 2+,179,14894.3988,2666097.377
Non-Elective Inpatient - Long Stay,HT62B , Very Major Elbow Procedures for Trauma with CC Score 0-1,445,10422.8319,4638160.193
Non-Elective Inpatient - Long Stay,HT63A ," Major Elbow Procedures for Trauma, 19 years and over, with CC Score 4+",212,14088.9541,2986858.265
Non-Elective Inpatient - Long Stay,HT63B ," Major Elbow Procedures for Trauma, 19 years and over, with CC Score 2-3",236,9798.1596,2312365.658
Non-Elective Inpatient - Long Stay,HT63C ," Major Elbow Procedures for Trauma, 19 years and over, with CC Score 1",255,9033.5496,2303555.137
Non-Elective Inpatient - Long Stay,HT63D ," Major Elbow Procedures for Trauma, 19 years and over, with CC Score 0",576,8029.1498,4624790.283
Non-Elective Inpatient - Long Stay,HT63E ," Major Elbow Procedures for Trauma, between 6 and 18 years",583,6616.9703,3857693.712
Non-Elective Inpatient - Long Stay,HT63F ," Major Elbow Procedures for Trauma, 5 years and under",207,5847.0247,1210334.107
Non-Elective Inpatient - Long Stay,HT64A ," Intermediate Elbow Procedures for Trauma, 19 years and over, with CC Score 1+",163,7104.0613,1157961.988
Non-Elective Inpatient - Long Stay,HT64B ," Intermediate Elbow Procedures for Trauma, 19 years and over, with CC Score 0",104,6619.2794,688405.0546
Non-Elective Inpatient - Long Stay,HT64C ," Intermediate Elbow Procedures for Trauma, between 6 and 18 years",184,5627.7723,1035510.11
Non-Elective Inpatient - Long Stay,HT64D ," Intermediate Elbow Procedures for Trauma, 5 years and under",81,4994.2652,404535.484
Non-Elective Inpatient - Long Stay,HT81A ," Complex, Hip or Knee Procedures for Trauma, with CC Score 12+",312,21098.333,6582679.889
Non-Elective Inpatient - Long Stay,HT81B ," Complex, Hip or Knee Procedures for Trauma, with CC Score 8-11",407,17693.8265,7201387.373
Non-Elective Inpatient - Long Stay,HT81C ," Complex, Hip or Knee Procedures for Trauma, with CC Score 4-7",655,16773.9024,10986906.07
Non-Elective Inpatient - Long Stay,HT81D ," Complex, Hip or Knee Procedures for Trauma, with CC Score 0-3",445,16812.1738,7481417.336
Non-Elective Inpatient - Long Stay,HT86A ," Complex, Foot, Hand, Shoulder or Elbow Procedures for Trauma, with CC Score 4+",224,18712.0851,4191507.057
Non-Elective Inpatient - Long Stay,HT86B ," Complex, Foot, Hand, Shoulder or Elbow Procedures for Trauma, with CC Score 2-3",204,13188.8525,2690525.91
Non-Elective Inpatient - Long Stay,HT86C ," Complex, Foot, Hand, Shoulder or Elbow Procedures for Trauma, with CC Score 0-1",549,13332.0947,7319320.013
Non-Elective Inpatient - Long Stay,IVF02 , Follicle stimulating hormone,9186,13.4403,123462.54
Non-Elective Inpatient - Long Stay,IVF06 , Progesterone (pessaries and injections),235,35.622,8371.1597
Non-Elective Inpatient - Long Stay,IVF07 , Oestradiol valerate tablets,80,27.1709,2173.6712
Non-Elective Inpatient - Long Stay,JA12D ," Malignant Breast Disorders with Interventions, with CC Score 7+",734,8936.7939,6559606.728
Non-Elective Inpatient - Long Stay,JA12E ," Malignant Breast Disorders with Interventions, with CC Score 3-6",109,6568.1076,715923.7262
Non-Elective Inpatient - Long Stay,JA12F ," Malignant Breast Disorders with Interventions, with CC Score 0-2",16,5150.1862,82402.9796
Non-Elective Inpatient - Long Stay,JA12G ," Malignant Breast Disorders without Interventions, with CC Score 9+",2074,5762.9373,11952331.87
Non-Elective Inpatient - Long Stay,JA12H ," Malignant Breast Disorders without Interventions, with CC Score 6-8",508,4225.4033,2146504.859
Non-Elective Inpatient - Long Stay,JA12J ," Malignant Breast Disorders without Interventions, with CC Score 4-5",222,4081.2964,906047.7972
Non-Elective Inpatient - Long Stay,JA12K ," Malignant Breast Disorders without Interventions, with CC Score 2-3",122,2727.5963,332766.7534
Non-Elective Inpatient - Long Stay,JA12L ," Malignant Breast Disorders without Interventions, with CC Score 0-1",43,3171.4214,136371.1204
Non-Elective Inpatient - Long Stay,JA13A , Non-Malignant Breast Disorders with Interventions,404,4635.9302,1872915.797
Non-Elective Inpatient - Long Stay,JA13B ," Non-Malignant Breast Disorders without Interventions, with CC Score 4+",364,3462.943,1260511.235
Non-Elective Inpatient - Long Stay,JA13C ," Non-Malignant Breast Disorders without Interventions, with CC Score 0-3",554,2363.9603,1309633.996
Non-Elective Inpatient - Long Stay,JA20D , Unilateral Major Breast Procedures with CC Score 6+,56,12199.2831,683159.8543
Non-Elective Inpatient - Long Stay,JA20E , Unilateral Major Breast Procedures with CC Score 3-5,45,7552.9385,339882.2345
Non-Elective Inpatient - Long Stay,JA20F , Unilateral Major Breast Procedures with CC Score 0-2,72,6783.416,488405.9494
Non-Elective Inpatient - Long Stay,JA21A , Bilateral Major Breast Procedures with CC Score 1+,19,8263.2777,157002.2768
Non-Elective Inpatient - Long Stay,JA30Z , Unilateral Delayed Pedicled Myocutaneous Breast Reconstruction,13,11733.8022,152539.4282
Non-Elective Inpatient - Long Stay,JA42Z , Bilateral Intermediate Breast Procedures,25,11344.6018,283615.0457
Non-Elective Inpatient - Long Stay,JA43A , Unilateral Intermediate Breast Procedures with CC Score 3+,217,9984.9475,2166733.61
Non-Elective Inpatient - Long Stay,JA43B , Unilateral Intermediate Breast Procedures with CC Score 0-2,68,5816.1903,395500.9395
Non-Elective Inpatient - Long Stay,JA45Z , Unilateral Minor Breast Procedures,47,3505.7694,164771.1611
Non-Elective Inpatient - Long Stay,JB40A ," Treatment of Burn, with Severity Score 10+, with Intervention Score 2+, 16 years and over",38,94271.2319,3582306.813
Non-Elective Inpatient - Long Stay,JB40B ," Treatment of Burn, with Severity Score 10+, with Intervention Score 0-1, 16 years and over",114,30739.5615,3504310.01
Non-Elective Inpatient - Long Stay,JB41B ," Treatment of Burn, with Severity Score 8-9, with Intervention Score 0-1, 16 years and over",112,15290.481,1712533.876
Non-Elective Inpatient - Long Stay,JB42A ," Treatment of Burn, with Severity Score 7, with Intervention Score 2+, 16 years and over",19,31931.3984,606696.5705
Non-Elective Inpatient - Long Stay,JB42B ," Treatment of Burn, with Severity Score 7, with Intervention Score 1, 16 years and over",38,29934.1033,1137495.925
Non-Elective Inpatient - Long Stay,JB42C ," Treatment of Burn, with Severity Score 7, with Intervention Score 0, 16 years and over",107,14611.89,1563472.227
Non-Elective Inpatient - Long Stay,JB43Z ," Treatment of Burn, with Severity Score 5-6, with Intervention Score 2+, 16 years and over",51,37474.8856,1911219.166
Non-Elective Inpatient - Long Stay,JB44A ," Treatment of Burn, with Severity Score 6, with Intervention Score 1, 16 years and over",92,26685.9905,2455111.13
Non-Elective Inpatient - Long Stay,JB44B ," Treatment of Burn, with Severity Score 6, with Intervention Score 0, 16 years and over",577,8980.3395,5181655.875
Non-Elective Inpatient - Long Stay,JB45A ," Treatment of Burn, with Severity Score 5, with Intervention Score 1, 16 years and over",103,20311.1911,2092052.688
Non-Elective Inpatient - Long Stay,JB45B ," Treatment of Burn, with Severity Score 5, with Intervention Score 0, 16 years and over",305,6294.265,1919750.816
Non-Elective Inpatient - Long Stay,JB46A ," Treatment of Burn, with Severity Score 4, with Intervention Score 1+, 16 years and over",106,15400.0979,1632410.375
Non-Elective Inpatient - Long Stay,JB46B ," Treatment of Burn, with Severity Score 4, with Intervention Score 0, 16 years and over",326,6431.3799,2096629.844
Non-Elective Inpatient - Long Stay,JB47A ," Treatment of Burn, with Severity Score 3, with Intervention Score 1+, 16 years and over",102,12588.6541,1284042.717
Non-Elective Inpatient - Long Stay,JB47B ," Treatment of Burn, with Severity Score 3, with Intervention Score 0, 16 years and over",273,5218.4246,1424629.922
Non-Elective Inpatient - Long Stay,JB48A ," Treatment of Burn, with Severity Score 2, with Intervention Score 1+, 16 years and over",17,12445.936,211580.9124
Non-Elective Inpatient - Long Stay,JB48B ," Treatment of Burn, with Severity Score 2, with Intervention Score 0, 16 years and over",176,5865.1041,1032258.327
Non-Elective Inpatient - Long Stay,JB49Z ," Treatment of Burn, with Severity Score 1, 16 years and over",39,5179.0574,201983.237
Non-Elective Inpatient - Long Stay,JB50B ," Treatment of Burn, with Severity Score 8+, with Intervention Score 0-1, 15 years and under",11,51606.317,567669.487
Non-Elective Inpatient - Long Stay,JB51A ," Treatment of Burn, with Severity Score 6-7, with Intervention Score 1+, 15 years and under",28,24148.9396,676170.3083
Non-Elective Inpatient - Long Stay,JB51B ," Treatment of Burn, with Severity Score 6-7, with Intervention Score 0, 15 years and under",35,12738.361,445842.6345
Non-Elective Inpatient - Long Stay,JB52Z ," Treatment of Burn, with Severity Score 4-5, with Intervention Score 1+, 15 years and under",54,15594.5341,842104.844
Non-Elective Inpatient - Long Stay,JB53Z ," Treatment of Burn, with Severity Score 5, with Intervention Score 0, 15 years and under",64,8971.7314,574190.8065
Non-Elective Inpatient - Long Stay,JB54Z ," Treatment of Burn, with Severity Score 4, with Intervention Score 0, 15 years and under",181,6457.7786,1168857.925
Non-Elective Inpatient - Long Stay,JB55Z ," Treatment of Burn, with Severity Score 2-3, with Intervention Score 1+, 15 years and under",76,10303.3345,783053.425
Non-Elective Inpatient - Long Stay,JB56Z ," Treatment of Burn, with Severity Score 3, with Intervention Score 0, 15 years and under",269,4897.8348,1317517.553
Non-Elective Inpatient - Long Stay,JB57Z ," Treatment of Burn, with Severity Score 2, with Intervention Score 0, 15 years and under",70,4679.2169,327545.1857
Non-Elective Inpatient - Long Stay,JB58Z ," Treatment of Burn, with Severity Score 1, 15 years and under",55,5811.4557,319630.0647
Non-Elective Inpatient - Long Stay,JB60A ," Treatment of Unspecified Degree of Burn, 16 years and over",511,6027.6356,3080121.802
Non-Elective Inpatient - Long Stay,JB60B ," Treatment of Unspecified Degree of Burn, 15 years and under",198,5174.4203,1024535.21
Non-Elective Inpatient - Long Stay,JB61A ," Treatment of Burn where Patient Transferred or Died in 2 days or less, 16 years and over",53,7073.393,374889.8276
Non-Elective Inpatient - Long Stay,JC40Z , Multiple Major Skin Procedures,163,30690.0547,5002478.919
Non-Elective Inpatient - Long Stay,JC41Z , Major Skin Procedures,818,17378.7795,14215841.67
Non-Elective Inpatient - Long Stay,JC42C ," Intermediate Skin Procedures, 19 years and over",869,2868.303,2492555.292
Non-Elective Inpatient - Long Stay,JC42D ," Intermediate Skin Procedures, 18 years and under",110,3138.501,345235.1048
Non-Elective Inpatient - Long Stay,JC43C ," Minor Skin Procedures, 19 years and over",111,5450.8628,605045.7723
Non-Elective Inpatient - Long Stay,JC43D ," Minor Skin Procedures, 18 years and under",20,2128.6067,42572.1339
Non-Elective Inpatient - Long Stay,JC47Z , Phototherapy or Photochemotherapy,944,1662.912,1569788.972
Non-Elective Inpatient - Long Stay,JD07A ," Skin Disorders with Interventions, with CC Score 12+",6635,8444.457,56028972.3
Non-Elective Inpatient - Long Stay,JD07B ," Skin Disorders with Interventions, with CC Score 8-11",2611,7175.5173,18735275.68
Non-Elective Inpatient - Long Stay,JD07C ," Skin Disorders with Interventions, with CC Score 4-7",3411,5710.8123,19479580.61
Non-Elective Inpatient - Long Stay,JD07D ," Skin Disorders with Interventions, with CC Score 0-3",4768,4206.1031,20054699.34
Non-Elective Inpatient - Long Stay,JD07E ," Skin Disorders without Interventions, with CC Score 19+",9163,6041.6196,55359360.09
Non-Elective Inpatient - Long Stay,JD07F ," Skin Disorders without Interventions, with CC Score 14-18",15449,4890.688,75556239.37
Non-Elective Inpatient - Long Stay,JD07G ," Skin Disorders without Interventions, with CC Score 10-13",18658,4059.2058,75736661.97
Non-Elective Inpatient - Long Stay,JD07H ," Skin Disorders without Interventions, with CC Score 6-9",19548,3345.9579,65406784.51
Non-Elective Inpatient - Long Stay,JD07J ," Skin Disorders without Interventions, with CC Score 2-5",17185,2771.1397,47622036.36
Non-Elective Inpatient - Long Stay,JD07K ," Skin Disorders without Interventions, with CC Score 0-1",6806,2281.9675,15531070.94
Non-Elective Inpatient - Long Stay,KA03C , Parathyroid Procedures with CC Score 2+,63,12920.0253,813961.5938
Non-Elective Inpatient - Long Stay,KA04A , Adrenal Procedures with CC Score 2+,43,11042.2149,474815.2401
Non-Elective Inpatient - Long Stay,KA04B , Adrenal Procedures with CC Score 0-1,12,5281.3746,63376.4949
Non-Elective Inpatient - Long Stay,KA05C , Anterior Pituitary Disorders with CC Score 2+,292,6232.2734,1819823.831
Non-Elective Inpatient - Long Stay,KA05D , Anterior Pituitary Disorders with CC Score 0-1,68,2308.02,156945.3594
Non-Elective Inpatient - Long Stay,KA06C ," Non-Pituitary Neoplasia or Hypoplasia, with CC Score 4+",1033,5755.4189,5945347.73
Non-Elective Inpatient - Long Stay,KA06D ," Non-Pituitary Neoplasia or Hypoplasia, with CC Score 2-3",264,4387.4821,1158295.284
Non-Elective Inpatient - Long Stay,KA06E ," Non-Pituitary Neoplasia or Hypoplasia, with CC Score 0-1",212,2485.1466,526851.085
Non-Elective Inpatient - Long Stay,KA07A , Non-Surgical Thyroid Disorders with CC Score 4+,1144,4348.0762,4974199.203
Non-Elective Inpatient - Long Stay,KA07B , Non-Surgical Thyroid Disorders with CC Score 2-3,492,2782.2301,1368857.187
Non-Elective Inpatient - Long Stay,KA07C , Non-Surgical Thyroid Disorders with CC Score 0-1,450,2416.1629,1087273.292
Non-Elective Inpatient - Long Stay,KA08A , Other Endocrine Disorders with CC Score 4+,2040,4038.0022,8237524.527
Non-Elective Inpatient - Long Stay,KA08B , Other Endocrine Disorders with CC Score 2-3,760,2562.0379,1947148.774
Non-Elective Inpatient - Long Stay,KA08C , Other Endocrine Disorders with CC Score 0-1,410,2488.9115,1020453.714
Non-Elective Inpatient - Long Stay,KA09C , Thyroid Procedures with CC Score 4+,72,12356.4563,889664.8523
